UUID,Title,Date,Date Start,Date End,Contributor,Subject Name,Subject Topical,Genre,Collection Title,Container Title,Description,Digital Collections URL
c0485030-c52a-012f-8f9f-3c075448cc4b,An accurate map of the United States of America : according to the Treaty of Peace of 1783.,1794-10,1794,,"Symonds, H. D. (Henry Delahoy) | Russell, John (fl. 1733-1795 ) | Great Britain",Great Britain,,,Maps of North America.,Whole,,http://digitalcollections.nypl.org/items/c0485030-c52a-012f-8f9f-3c075448cc4b
c6cf6100-c52a-012f-4db1-3c075448cc4b,A Map of the frontier of British North America and the United States : describing the boundary line as fixed by the Treaty of 1783 which has never been respected by the American government ...,1814,1814,,"Richardson, J. M | Great Britain",Great Britain,,,Maps of North America.,Whole,,http://digitalcollections.nypl.org/items/c6cf6100-c52a-012f-4db1-3c075448cc4b
eb93a010-c52a-012f-d9c2-3c075448cc4b,Karte der katholischen Dioecesen und deren Missionen in Nordamerika,1845,1845,,"Salzbacher, Joseph (1790-1867 ) | Catholic Church",Catholic Church,Missions,,Maps of North America.,Whole,,http://digitalcollections.nypl.org/items/eb93a010-c52a-012f-d9c2-3c075448cc4b
f5e6ae80-c52a-012f-271c-3c075448cc4b,"Map showing the Union Pacific Railway and connecting rail roads, 1881.",1881,1881,,F. Miller Co. | Union Pacific Railway Company,Union Pacific Railway Company,Railroads,Maps,Maps of North America.,Parts,,http://digitalcollections.nypl.org/items/f5e6ae80-c52a-012f-271c-3c075448cc4b
00e7db30-c52b-012f-a80e-3c075448cc4b,Map of the Vermont Central Rail Road and its connections from Smith's map of the United States.,1844,1844,,J.H. Bufford's Lith. | Vermont Central Railroad,Vermont Central Railroad,Railroads,Maps,Maps of North America.,Parts,,http://digitalcollections.nypl.org/items/00e7db30-c52b-012f-a80e-3c075448cc4b
323c04f0-c52b-012f-4e46-3c075448cc4b,"Copy of a map attached to Govr. Colden's History of the Five Indian Natio[ns] : printed in London, A.D. MDCCXLVII.",1825,1825,,"Colden, Cadwallader D. (Cadwallader David) (1769-1834) | Five Nations",Five Nations,Indians of North America,Maps,Maps of North America.,Parts,,http://digitalcollections.nypl.org/items/323c04f0-c52b-012f-4e46-3c075448cc4b
38ccca70-c52b-012f-9dc9-3c075448cc4b,"New and correct map of the Great Rock Island route, Chicago, Rock Island & Pacific Railway : the passengers favorite route between Chicago and Council Bluffs, Kansas City, Leavenworth, Atchison, Minneapolis, St. Paul and all points east, west, south-west, and north-west",1883,1883,,"Cram, George Franklin (1841-1928) | Chicago, Rock Island and Pacific Railway Company","Chicago, Rock Island and Pacific Railway Company",Railroads,Maps,Maps of North America.,Parts,,http://digitalcollections.nypl.org/items/38ccca70-c52b-012f-9dc9-3c075448cc4b
3c042970-c52b-012f-b10e-3c075448cc4b,Map of the Union Pacific Railroad and its connections,1865,1865,,"O'Brien, James J. | Seymour, Silas (1817-1890) | Union Pacific Railroad Company",Union Pacific Railroad Company,Railroads,Maps,Maps of North America.,Parts,,http://digitalcollections.nypl.org/items/3c042970-c52b-012f-b10e-3c075448cc4b
71d24ac0-c52b-012f-154a-3c075448cc4b,"A new map of Pennsylvania : with its canals, rail-roads & distances from place to place along the stage roads",1833,1833,,"Tanner, Henry Schenck (1786-1858 ) | Brose, W. | Columbia-Philadelphia Railroad",Columbia-Philadelphia Railroad,Canals | Altitudes | Railroads | Roads | Steam-navigation,,Maps of North America.,Whole,,http://digitalcollections.nypl.org/items/71d24ac0-c52b-012f-154a-3c075448cc4b
8f107280-c52b-012f-d894-3c075448cc4b,Map of Washington's farms at Mount Vernon,1839,1839,,"Andrews, Ferdinand (1802-1883 ) | Sparks, Jared (1789-1866 ) | Washington, George (1732-1799) | Boynton, George W. (d. 1884 ) | Washington, George, 1732-1799","Washington, George, 1732-1799",Farms | Homes and haunts,,Maps of North America.,Virginia,,http://digitalcollections.nypl.org/items/8f107280-c52b-012f-d894-3c075448cc4b
