name,n_items,n_distinct_titles,distinct_title_ratio,looks_like_person
New York Public Library,1228,927,0.754885993485342,False
"Centennial Exhibition (1876 : Philadelphia, Pa.)",770,424,0.5506493506493506,False
"Washington, George, 1732-1799",643,371,0.5769828926905132,True
New York Public Library. Humanities and Social Sciences Library,449,326,0.7260579064587973,False
"Temple of Hathor (Dandara, Egypt)",417,141,0.3381294964028777,False
"White House (Washington, D.C.)",407,251,0.6167076167076168,False
"Madison, James, 1751-1836",399,298,0.7468671679197995,True
"Joan, of Arc, Saint, 1412-1431",397,17,0.042821158690176324,True
Pennsylvania Railroad,360,202,0.5611111111111111,False
"Dickens, Charles, 1812-1870",276,249,0.9021739130434783,True
"World's Columbian Exposition (1893 : Chicago, Ill.)",272,226,0.8308823529411765,False
Geographical Surveys West of the 100th Meridian (U.S.),262,146,0.5572519083969466,False
"Independence Hall (Philadelphia, Pa.)",190,61,0.32105263157894737,False
Central Pacific Railroad Company,187,162,0.8663101604278075,False
Union Pacific Railroad Company,178,152,0.8539325842696629,False
"Ramses II, King of Egypt",173,146,0.8439306358381503,True
United States Military Academy,173,125,0.7225433526011561,False
United States. Declaration of Independence,164,148,0.9024390243902439,False
"Castillo de San Marcos (Saint Augustine, Fla.)",162,120,0.7407407407407407,False
Philadelphia Quakers (Baseball team),154,62,0.4025974025974026,False
"Green-Wood Cemetery (New York, N.Y.)",131,87,0.6641221374045801,False
"Temple of Amon (Karnak, Egypt)",116,104,0.896551724137931,False
Men,113,112,0.9911504424778761,False
"Fulton, Robert, 1765-1815",111,36,0.32432432432432434,True
"George, Henry, 1839-1897",110,78,0.7090909090909091,True
Jesus Christ,107,100,0.9345794392523364,False
"United States Capitol (Washington, D.C.)",102,81,0.7941176470588235,False
United States. Continental Congress,97,92,0.9484536082474226,False
"Shalmanesar III, King of Assyria,",94,18,0.19148936170212766,True
"Franklin, Benjamin, 1706-1790",93,55,0.5913978494623656,True
United States. Patent Office,90,42,0.4666666666666667,False
Ellis Island Immigration Station (N.Y. and N.J.),89,83,0.9325842696629213,False
"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",89,68,0.7640449438202247,False
"George III, King of Great Britain, 1738-1820",87,69,0.7931034482758621,True
"Bellew, Kyrle, 1855-1911",85,1,0.011764705882352941,True
United States Darien Exploring Expedition (1871 and 1873),82,79,0.9634146341463414,False
"Ramses III, King of Egypt",80,74,0.925,True
United States Sanitary Commission,79,77,0.9746835443037974,False
"Jefferson, Thomas, 1743-1826",79,39,0.4936708860759494,True
"Lincoln, Abraham, 1809-1865",78,72,0.9230769230769231,True
Portland & Ogdensburg Railroad Company,78,46,0.5897435897435898,False
Königliche Museen zu Berlin,77,69,0.8961038961038961,False
"Ramesseum (Thebes, Egypt)",75,72,0.96,False
"City Hall (New York, N.Y.)",74,41,0.5540540540540541,False
"Mary, Blessed Virgin, Saint",74,73,0.9864864864864865,True
"Treasury Building (Washington, D.C.)",71,41,0.5774647887323944,False
"Seti I, King of Egypt",71,50,0.704225352112676,True
"Trinity Church (New York, N.Y.)",69,54,0.782608695652174,False
Lehigh Valley Railroad Company,69,49,0.7101449275362319,False
Smithsonian Institution,63,28,0.4444444444444444,False
"Adams, John, 1735-1826",63,30,0.47619047619047616,True
"Cliff House (San Francisco, Calif.)",62,27,0.43548387096774194,False
"Lafayette, Marie Joseph Paul Yves Roch Gilbert du Motier, marquis de, 1757-1834",62,42,0.6774193548387096,True
Palace of Sennacherib (Nineveh),60,60,1.0,False
"Temple of Luxor (Luxor, Egypt)",59,56,0.9491525423728814,False
Charlestown Navy Yard (Mass.),59,43,0.7288135593220338,False
"Hamilton, Alexander, 1757-1804",59,27,0.4576271186440678,True
"Great Temple (Abû Sunbul, Egypt)",58,45,0.7758620689655172,False
Church of the Holy Sepulchre (Jerusalem),57,56,0.9824561403508771,False
"Temple of Seti I (Abydos, Egypt)",54,33,0.6111111111111112,False
"Albany Congress (1754 : Albany, N.Y.)",54,54,1.0,False
"Jackson, Andrew, 1767-1845",52,32,0.6153846153846154,True
"Cornwallis, Charles Cornwallis, Marquis, 1738-1805",50,32,0.64,True
"Massachusetts State House (Boston, Mass.)",48,16,0.3333333333333333,False
"Temple of Horus (Idfû, Egypt)",43,42,0.9767441860465116,False
