match_type,target,n_items
Collection Title indeholder 'portrait' (collections-fil),Print Collection portrait file,10
Collection Title indeholder 'portrait' (collections-fil),Portrait collection,6
Collection Title indeholder 'portrait' (collections-fil),"History of Greece: from the earliest records of that country, to the time in which it was reduced to a Roman province. Illustrated with maps and portraits. For the use of young persons. By Edward Baldwin, Esq., author of Fables, ancient and modern.",1
Collection Title indeholder 'portrait' (collections-fil),"The costumes of the various tribes, portraits of ladies of rank, celebrated princes and chiefs, views of the principal fortresses and cities, and interior of the cities and temples of Afghaunistaun.  From original drawings by James Rattray.",31
Collection Title indeholder 'portrait' (collections-fil),The fishes of North America that are captured on hook and line. With eighty colored plates made from oil portraits of living fishes before their color tints had faded. By William C. Harris ... Volume I.,44
Collection Title indeholder 'portrait' (collections-fil),Peruvian portraits,4
Collection Title indeholder 'portrait' (collections-fil),Album de la galerie contemporaine: biographies & portraits,2
Collection Title indeholder 'portrait' (collections-fil),Daguerreotype portraits,2
'Collection Title' indeholder 'portrait' (items-fil),-,71
'Parent Hierarchy' indeholder 'portrait' (items-fil),-,265
'Container Title' indeholder 'portrait' (items-fil),-,191
'Genre' indeholder 'portrait' (items-fil),-,407
'Title' indeholder 'portrait' (items-fil),-,567
