life_course_id,n_nodes,record_ids,birth_year_estimates,issues,flagged
0,2,"['C00000', 'R02231']","[1785, 1785]",[],False
1,2,"['C00002', 'R01149']","[1828, 1827]",[],False
2,2,"['C00003', 'R00515']","[1784, 1785]",[],False
3,2,"['C00004', 'R00295']","[1796, 1798]",[],False
4,2,"['C00005', 'R01603']","[1812, 1810]",[],False
5,2,"['C00007', 'R01165']","[1840, 1838]",[],False
6,2,"['C00008', 'R02379']","[1831, 1830]",[],False
7,2,"['C00012', 'R02917']","[1826, 1829]",[],False
8,2,"['C00014', 'R01058']","[1820, 1823]",[],False
9,2,"['C00015', 'R02919']","[1822, 1821]",[],False
10,2,"['C00016', 'R00891']","[1834, 1836]",[],False
11,2,"['C00017', 'R01344']","[1807, 1808]",[],False
12,2,"['C00019', 'R02443']","[1815, 1818]",[],False
13,2,"['C00020', 'R00591']","[1836, 1835]",[],False
14,2,"['C00022', 'R01411']","[1807, 1808]",[],False
15,2,"['C00025', 'R02707']","[1830, 1833]",[],False
16,2,"['C00026', 'R00979']","[1835, 1833]",[],False
17,2,"['C00027', 'R00125']","[1795, 1794]",[],False
18,2,"['C00028', 'R02573']","[1805, 1808]",[],False
19,2,"['C00029', 'R02682']","[1798, 1802]",['birth_year_conflict'],True
20,2,"['C00030', 'R00910']","[1840, 1845]",['birth_year_conflict'],True
21,2,"['C00031', 'R02342']","[1838, 1839]",[],False
22,2,"['C00032', 'R00999']","[1798, 1799]",[],False
23,2,"['C00033', 'R02723']","[1810, 1810]",[],False
24,2,"['C00034', 'R01099']","[1785, 1786]",[],False
25,2,"['C00035', 'R00469']","[1838, 1839]",[],False
26,2,"['C00036', 'R00545']","[1785, 1784]",[],False
27,2,"['C00038', 'R02155']","[1815, 1815]",[],False
28,2,"['C00039', 'R01282']","[1801, 1798]",[],False
29,2,"['C00040', 'R00695']","[1783, 1783]",[],False
30,2,"['C00043', 'R02634']","[1787, 1786]",[],False
31,2,"['C00044', 'R01762']","[1823, 1825]",[],False
32,2,"['C00045', 'R01932']","[1791, 1789]",[],False
33,2,"['C00046', 'R01563']","[1814, 1816]",[],False
34,2,"['C00049', 'R01954']","[1784, 1782]",[],False
35,2,"['C00051', 'R01696']","[1811, 1813]",[],False
36,2,"['C00052', 'R02267']","[1788, 1789]",[],False
37,2,"['C00054', 'R01340']","[1814, 1814]",[],False
38,2,"['C00055', 'R01283']","[1792, 1790]",[],False
39,2,"['C00056', 'R02759']","[1821, 1819]",[],False
40,2,"['C00057', 'R02857']","[1806, 1806]",[],False
41,2,"['C00058', 'R00607']","[1800, 1798]",[],False
42,2,"['C00059', 'R01137']","[1807, 1807]",[],False
43,2,"['C00060', 'R01108']","[1785, 1784]",[],False
44,2,"['C00061', 'R02180']","[1794, 1793]",[],False
45,2,"['C00065', 'R00854']","[1805, 1800]",['birth_year_conflict'],True
46,2,"['C00066', 'R00097']","[1808, 1804]",['birth_year_conflict'],True
47,2,"['C00068', 'R02280']","[1819, 1817]",[],False
48,2,"['C00069', 'R00720']","[1803, 1805]",[],False
49,2,"['C00071', 'R00953']","[1839, 1839]",[],False
50,2,"['C00072', 'R01734']","[1829, 1826]",[],False
51,2,"['C00073', 'R01440']","[1794, 1793]",[],False
52,2,"['C00074', 'R01470']","[1812, 1811]",[],False
53,2,"['C00075', 'R00356']","[1783, 1785]",[],False
54,2,"['C00076', 'R01943']","[1829, 1829]",[],False
55,2,"['C00077', 'R00932']","[1784, 1783]",[],False
56,2,"['C00078', 'R00089']","[1815, 1814]",[],False
57,2,"['C00079', 'R02642']","[1818, 1818]",[],False
58,2,"['C00080', 'R01582']","[1837, 1837]",[],False
59,2,"['C00081', 'R02302']","[1799, 1800]",[],False
60,2,"['C00082', 'R02343']","[1835, 1835]",[],False
61,2,"['C00084', 'R01116']","[1822, 1822]",[],False
62,2,"['C00085', 'R00825']","[1788, 1789]",[],False
63,2,"['C00086', 'R02933']","[1811, 1809]",[],False
64,2,"['C00087', 'R02349']","[1841, 1839]",[],False
65,2,"['C00088', 'R02947']","[1825, 1825]",[],False
66,2,"['C00090', 'R02541']","[1803, 1805]",[],False
67,2,"['C00091', 'R01241']","[1807, 1807]",[],False
68,2,"['C00092', 'R00203']","[1805, 1805]",[],False
69,2,"['C00093', 'R02263']","[1827, 1829]",[],False
70,2,"['C00094', 'R02292']","[1837, 1836]",[],False
71,2,"['C00096', 'R01111']","[1805, 1805]",[],False
72,2,"['C00097', 'R02253']","[1793, 1793]",[],False
73,2,"['C00098', 'R01527']","[1802, 1802]",[],False
74,2,"['C00104', 'R02908']","[1832, 1830]",[],False
75,2,"['C00106', 'R01128']","[1797, 1795]",[],False
76,2,"['C00107', 'R00001']","[1811, 1810]",[],False
77,2,"['C00109', 'R02368']","[1822, 1820]",[],False
78,2,"['C00110', 'R00153']","[1797, 1799]",[],False
79,2,"['C00112', 'R00900']","[1814, 1814]",[],False
80,2,"['C00114', 'R01987']","[1833, 1831]",[],False
81,2,"['C00117', 'R02748']","[1827, 1827]",[],False
82,2,"['C00118', 'R00620']","[1801, 1802]",[],False
83,2,"['C00119', 'R01297']","[1832, 1831]",[],False
84,2,"['C00120', 'R01715']","[1839, 1838]",[],False
85,2,"['C00121', 'R02530']","[1827, 1827]",[],False
86,2,"['C00122', 'R01495']","[1817, 1814]",[],False
87,2,"['C00123', 'R02341']","[1827, 1827]",[],False
88,2,"['C00125', 'R00180']","[1787, 1788]",[],False
89,2,"['C00126', 'R02806']","[1796, 1794]",[],False
90,2,"['C00128', 'R02678']","[1814, 1811]",[],False
91,2,"['C00129', 'R01056']","[1803, 1804]",[],False
92,2,"['C00130', 'R02937']","[1789, 1787]",[],False
93,2,"['C00132', 'R02391']","[1812, 1813]",[],False
94,2,"['C00133', 'R01631']","[1839, 1839]",[],False
