entity_id,n_records,record_ids,mean_link_confidence,issues,flagged
0,2,"['nypl_1851_1852_doggetts_002824', 'nypl_1851_1852_doggetts_002825']",0.73,['conflicting_occupation'],True
1,2,"['nypl_1851_1852_doggetts_001254', 'nypl_1851_1852_doggetts_001258']",0.54,[],False
2,2,"['nypl_1851_1852_doggetts_004283', 'nypl_1851_1852_doggetts_004284']",0.525,['conflicting_occupation'],True
3,2,"['nypl_1851_1852_doggetts_007282', 'nypl_1851_1852_doggetts_007283']",0.555,[],False
4,2,"['nypl_1851_1852_doggetts_001352', 'nypl_1851_1852_doggetts_001354']",0.55,[],False
5,2,"['nypl_1851_1852_doggetts_000754', 'nypl_1851_1852_doggetts_000774']",0.52,[],False
6,2,"['nypl_1851_1852_doggetts_000430', 'nypl_1851_1852_doggetts_003759']",0.54,[],False
7,2,"['nypl_1851_1852_doggetts_005482', 'nypl_1851_1852_doggetts_005557']",0.73,[],False
8,2,"['nypl_1851_1852_doggetts_000554', 'nypl_1851_1852_doggetts_003978']",0.525,[],False
9,2,"['nypl_1851_1852_doggetts_002962', 'nypl_1851_1852_doggetts_003135']",0.54,[],False
10,2,"['nypl_1851_1852_doggetts_001350', 'nypl_1851_1852_doggetts_001651']",0.7,[],False
11,2,"['nypl_1851_1852_doggetts_002295', 'nypl_1851_1852_doggetts_002301']",0.55,['conflicting_occupation'],True
12,2,"['nypl_1851_1852_doggetts_005188', 'nypl_1851_1852_doggetts_005189']",0.715,[],False
13,2,"['nypl_1851_1852_doggetts_006835', 'nypl_1851_1852_doggetts_006838']",0.6,[],False
14,2,"['nypl_1851_1852_doggetts_007848', 'nypl_1851_1852_doggetts_007851']",0.625,[],False
15,2,"['nypl_1851_1852_doggetts_002991', 'nypl_1851_1852_doggetts_003146']",0.515,[],False
16,2,"['nypl_1851_1852_doggetts_001458', 'nypl_1851_1852_doggetts_006576']",0.51,[],False
17,2,"['nypl_1851_1852_doggetts_000074', 'nypl_1851_1852_doggetts_000075']",0.515,['conflicting_occupation'],True
18,2,"['nypl_1851_1852_doggetts_006789', 'nypl_1851_1852_doggetts_006813']",0.56,[],False
19,2,"['nypl_1851_1852_doggetts_004755', 'nypl_1851_1852_doggetts_004866']",0.555,[],False
20,2,"['nypl_1851_1852_doggetts_000435', 'nypl_1851_1852_doggetts_004941']",0.56,[],False
21,2,"['nypl_1851_1852_doggetts_005607', 'nypl_1851_1852_doggetts_006935']",0.525,[],False
22,2,"['nypl_1851_1852_doggetts_002263', 'nypl_1851_1852_doggetts_002265']",0.655,[],False
23,2,"['nypl_1851_1852_doggetts_005359', 'nypl_1851_1852_doggetts_005373']",0.79,[],False
24,2,"['nypl_1851_1852_doggetts_002614', 'nypl_1851_1852_doggetts_006413']",0.85,[],False
25,2,"['nypl_1851_1852_doggetts_006549', 'nypl_1851_1852_doggetts_006550']",1.0,[],False
26,2,"['nypl_1851_1852_doggetts_003049', 'nypl_1851_1852_doggetts_003060']",0.53,[],False
27,2,"['nypl_1851_1852_doggetts_000561', 'nypl_1851_1852_doggetts_000566']",0.66,[],False
28,2,"['nypl_1851_1852_doggetts_002127', 'nypl_1851_1852_doggetts_002332']",0.555,[],False
29,2,"['nypl_1851_1852_doggetts_003553', 'nypl_1851_1852_doggetts_003561']",0.945,[],False
30,2,"['nypl_1851_1852_doggetts_001761', 'nypl_1851_1852_doggetts_001762']",0.94,[],False
31,2,"['nypl_1851_1852_doggetts_003461', 'nypl_1851_1852_doggetts_004117']",0.54,[],False
32,2,"['nypl_1851_1852_doggetts_005499', 'nypl_1851_1852_doggetts_005500']",0.955,[],False
33,2,"['nypl_1851_1852_doggetts_001173', 'nypl_1851_1852_doggetts_006896']",0.54,[],False
34,2,"['nypl_1851_1852_doggetts_001270', 'nypl_1851_1852_doggetts_001277']",0.54,[],False
35,2,"['nypl_1851_1852_doggetts_006801', 'nypl_1851_1852_doggetts_006818']",0.565,[],False
36,2,"['nypl_1851_1852_doggetts_002948', 'nypl_1851_1852_doggetts_002951']",0.555,[],False
37,2,"['nypl_1851_1852_doggetts_007269', 'nypl_1851_1852_doggetts_007270']",0.57,[],False
38,2,"['nypl_1851_1852_doggetts_003269', 'nypl_1851_1852_doggetts_003316']",0.69,[],False
39,2,"['nypl_1851_1852_doggetts_002162', 'nypl_1851_1852_doggetts_002193']",0.555,[],False
40,2,"['nypl_1851_1852_doggetts_001630', 'nypl_1851_1852_doggetts_005643']",0.525,['conflicting_occupation'],True
41,2,"['nypl_1851_1852_doggetts_001358', 'nypl_1851_1852_doggetts_005403']",0.555,[],False
42,2,"['nypl_1851_1852_doggetts_007189', 'nypl_1851_1852_doggetts_007316']",0.555,[],False
43,2,"['nypl_1851_1852_doggetts_000059', 'nypl_1851_1852_doggetts_000184']",0.52,[],False
44,2,"['nypl_1851_1852_doggetts_002740', 'nypl_1851_1852_doggetts_003864']",0.555,[],False
45,2,"['nypl_1851_1852_doggetts_001145', 'nypl_1851_1852_doggetts_001158']",0.65,[],False
46,2,"['nypl_1851_1852_doggetts_004667', 'nypl_1851_1852_doggetts_004745']",0.555,[],False
47,2,"['nypl_1851_1852_doggetts_007681', 'nypl_1851_1852_doggetts_007840']",0.605,[],False
48,2,"['nypl_1851_1852_doggetts_001814', 'nypl_1851_1852_doggetts_001819']",0.555,[],False
49,2,"['nypl_1851_1852_doggetts_004540', 'nypl_1851_1852_doggetts_004541']",0.52,[],False
50,2,"['nypl_1851_1852_doggetts_000808', 'nypl_1851_1852_doggetts_000810']",0.555,[],False
51,2,"['nypl_1851_1852_doggetts_003050', 'nypl_1851_1852_doggetts_003058']",0.6,[],False
52,2,"['nypl_1851_1852_doggetts_007322', 'nypl_1851_1852_doggetts_007335']",0.625,[],False
53,2,"['nypl_1851_1852_doggetts_000939', 'nypl_1851_1852_doggetts_000941']",0.555,[],False
54,2,"['nypl_1851_1852_doggetts_005192', 'nypl_1851_1852_doggetts_005193']",0.53,[],False
55,2,"['nypl_1851_1852_doggetts_005301', 'nypl_1851_1852_doggetts_005839']",0.555,[],False
56,2,"['nypl_1851_1852_doggetts_001594', 'nypl_1851_1852_doggetts_001597']",0.72,[],False
57,2,"['nypl_1851_1852_doggetts_004278', 'nypl_1851_1852_doggetts_004279']",0.555,[],False
58,2,"['nypl_1851_1852_doggetts_004408', 'nypl_1851_1852_doggetts_004537']",0.74,[],False
59,2,"['nypl_1851_1852_doggetts_001939', 'nypl_1851_1852_doggetts_001942']",0.555,[],False
60,2,"['nypl_1851_1852_doggetts_006137', 'nypl_1851_1852_doggetts_006141']",0.545,[],False
61,2,"['nypl_1851_1852_doggetts_005467', 'nypl_1851_1852_doggetts_006033']",0.55,['conflicting_occupation'],True
62,2,"['nypl_1851_1852_doggetts_003521', 'nypl_1851_1852_doggetts_003527']",0.79,[],False
63,2,"['nypl_1851_1852_doggetts_002889', 'nypl_1851_1852_doggetts_002906']",0.52,[],False
64,2,"['nypl_1851_1852_doggetts_004634', 'nypl_1851_1852_doggetts_004636']",0.555,[],False
65,2,"['nypl_1851_1852_doggetts_002558', 'nypl_1851_1852_doggetts_002581']",0.54,[],False
66,2,"['nypl_1851_1852_doggetts_005031', 'nypl_1851_1852_doggetts_005092']",0.55,[],False
67,2,"['nypl_1851_1852_doggetts_001660', 'nypl_1851_1852_doggetts_001661']",0.56,[],False
68,2,"['nypl_1851_1852_doggetts_006131', 'nypl_1851_1852_doggetts_006135']",0.565,[],False
